,Symbol,Prix Entrée,Montant (ETH),P&L Brut,Frais,P&L Net,Durée,Entrée,Sortie
0,BRO,$0.00244700,0.1500,-13.81%,-3.87%,-17.68%,0.1h,2025-11-18 05:07:07,2025-11-18 05:10:15
1,BRO,$0.00405300,0.1500,-39.62%,-3.87%,-43.49%,0.0h,2025-11-18 05:06:05,2025-11-18 05:07:06
2,BRO,$0.00492600,0.1500,-17.72%,-3.87%,-21.59%,0.0h,2025-11-18 05:03:59,2025-11-18 05:06:04
3,BRO,$0.00511200,0.1500,-3.64%,-3.87%,-7.51%,0.1h,2025-11-18 04:59:51,2025-11-18 05:03:58
4,BRO,$0.01395000,0.1500,-63.35%,-3.87%,-67.22%,0.0h,2025-11-18 04:59:22,2025-11-18 04:59:50
5,BUSHTIT,$0.00035780,0.1500,8.64%,-3.87%,4.77%,0.4h,2025-11-18 04:33:39,2025-11-18 04:59:18
6,BUSHTIT,$0.00040200,0.1500,-11.00%,-3.87%,-14.86%,0.1h,2025-11-18 04:30:38,2025-11-18 04:33:39
7,RUNES,$0.00147800,0.1500,-76.24%,-3.87%,-80.11%,0.0h,2025-11-18 03:40:03,2025-11-18 03:41:06
8,RUNES,$0.00302000,0.1500,-51.06%,-3.87%,-54.93%,0.0h,2025-11-18 03:38:29,2025-11-18 03:40:03
9,RUNES,$0.00185300,0.1500,62.98%,-3.87%,59.11%,0.0h,2025-11-18 03:36:54,2025-11-18 03:38:29
10,RUNES,$0.00094080,0.1500,96.96%,-3.87%,93.09%,0.0h,2025-11-18 03:34:47,2025-11-18 03:36:54
11,RUNES,$0.00153800,0.1500,-38.83%,-3.87%,-42.70%,0.0h,2025-11-18 03:33:37,2025-11-18 03:34:47
12,RUNES,$0.00176300,0.1500,-12.76%,-3.87%,-16.63%,0.1h,2025-11-18 03:30:36,2025-11-18 03:33:37
13,0xPPL,$0.00089560,0.1500,7.84%,-3.87%,3.97%,0.1h,2025-11-18 02:38:46,2025-11-18 02:42:54
14,0xPPL,$0.00085820,0.1500,4.36%,-3.87%,0.49%,0.0h,2025-11-18 02:37:45,2025-11-18 02:38:45
15,0xPPL,$0.00077440,0.1500,10.82%,-3.87%,6.95%,0.0h,2025-11-18 02:35:08,2025-11-18 02:37:43
16,0xPPL,$0.00066010,0.1500,17.32%,-3.87%,13.45%,0.0h,2025-11-18 02:33:03,2025-11-18 02:35:07
17,0xPPL,$0.00052330,0.1500,26.14%,-3.87%,22.28%,0.0h,2025-11-18 02:30:54,2025-11-18 02:33:01
18,0xPPL,$0.00058500,0.1500,-10.55%,-3.87%,-14.41%,0.0h,2025-11-18 02:27:50,2025-11-18 02:30:50
19,poidh,$0.02115000,0.1500,-25.63%,-3.87%,-29.49%,0.1h,2025-11-18 02:24:49,2025-11-18 02:27:49
20,poidh,$0.01690000,0.1500,25.15%,-3.87%,21.28%,0.1h,2025-11-18 02:18:36,2025-11-18 02:24:49
21,poidh,$0.01352000,0.1500,25.00%,-3.87%,21.13%,0.1h,2025-11-18 02:14:50,2025-11-18 02:18:33
22,poidh,$0.01437000,0.1500,-5.92%,-3.87%,-9.78%,0.1h,2025-11-18 02:11:46,2025-11-18 02:14:47
23,Genbase,$0.00013970,0.1500,56.26%,-3.87%,52.40%,0.3h,2025-11-18 01:55:34,2025-11-18 02:11:45
24,hamptonism,$0.00035760,0.1500,-5.17%,-3.87%,-9.04%,13.2h,2025-11-17 12:32:30,2025-11-18 01:47:08
25,fomo,$0.00065450,0.1500,40.11%,-3.87%,36.24%,0.9h,2025-11-17 19:57:22,2025-11-17 20:49:39
26,fomo,$0.00076050,0.1500,-13.94%,-3.87%,-17.80%,0.1h,2025-11-17 19:52:41,2025-11-17 19:57:22
27,fomo,$0.00090340,0.1500,-15.82%,-3.87%,-19.68%,0.1h,2025-11-17 19:46:58,2025-11-17 19:52:40
28,FEY,$0.00004038,0.1500,-5.23%,-3.87%,-9.09%,1.0h,2025-11-17 18:45:28,2025-11-17 19:46:55
29,INX,$0.10490000,0.1500,-27.38%,-3.87%,-31.25%,0.1h,2025-11-17 17:00:28,2025-11-17 17:03:28
30,INX,$0.14140000,0.1500,-25.81%,-3.87%,-29.68%,0.0h,2025-11-17 16:57:28,2025-11-17 17:00:28
31,INX,$0.13720000,0.1500,3.06%,-3.87%,-0.81%,0.0h,2025-11-17 16:55:22,2025-11-17 16:57:28
32,中,$0.14890000,0.1500,55.88%,-3.87%,52.01%,0.2h,2025-11-17 12:33:14,2025-11-17 12:43:44
33,中,$0.16460000,0.1500,-9.54%,-3.87%,-13.40%,0.1h,2025-11-17 12:30:13,2025-11-17 12:33:14
34,hbWETH,$1.04200000,0.1500,-15.69%,-3.87%,-19.56%,0.2h,2025-11-17 12:21:58,2025-11-17 12:32:28
35,hbWETH,$1.02900000,0.1500,1.26%,-3.87%,-2.60%,0.0h,2025-11-17 12:20:56,2025-11-17 12:21:58
36,hbWETH,$0.74220000,0.1500,38.64%,-3.87%,34.78%,0.0h,2025-11-17 12:18:19,2025-11-17 12:20:56
37,hbWETH,$0.57470000,0.1500,29.15%,-3.87%,25.28%,0.1h,2025-11-17 12:15:13,2025-11-17 12:18:18
38,Fireside,$0.00010650,0.1500,9.95%,-3.87%,6.09%,0.2h,2025-11-17 11:59:43,2025-11-17 12:13:48
39,Fireside,$0.00011780,0.1500,-9.59%,-3.87%,-13.46%,0.1h,2025-11-17 11:53:31,2025-11-17 11:59:43
40,LILBULE,$0.00040870,0.1500,16.27%,-3.87%,12.40%,0.4h,2025-11-17 11:32:47,2025-11-17 11:58:52
41,Fireside,$0.00010380,0.1500,13.49%,-3.87%,9.62%,0.0h,2025-11-17 11:50:57,2025-11-17 11:53:30
42,Fireside,$0.00011830,0.1500,-12.26%,-3.87%,-16.12%,0.1h,2025-11-17 11:47:55,2025-11-17 11:50:56
43,DGRAM,$0.00000004,0.1500,10.60%,-3.87%,6.73%,0.1h,2025-11-17 11:42:04,2025-11-17 11:47:53
44,ANZ,$0.06632000,0.1500,17.96%,-3.87%,14.09%,0.1h,2025-11-17 11:37:54,2025-11-17 11:42:04
45,ANZ,$0.05688000,0.1500,16.60%,-3.87%,12.73%,0.0h,2025-11-17 11:36:23,2025-11-17 11:37:54
46,Fireside,$0.00032950,0.1500,-11.08%,-3.87%,-14.94%,0.1h,2025-11-17 11:33:15,2025-11-17 11:36:21
47,Fireside,$0.00036660,0.1500,-10.12%,-3.87%,-13.99%,0.1h,2025-11-17 11:30:02,2025-11-17 11:33:15
48,LILBULE,$0.00043100,0.1500,-5.17%,-3.87%,-9.04%,0.1h,2025-11-17 11:28:34,2025-11-17 11:32:46
49,Fireside,$0.00041880,0.1500,-12.46%,-3.87%,-16.33%,0.1h,2025-11-17 11:27:02,2025-11-17 11:30:02
